OldGenus,OldSpecies,NewGenus,NewSpecies
Pseudognaphalium,spuria,Pseudoselago,spuria
Pseudopentameris,macrantha,Pseudopentameris,macrantha
Pseudoselago,spuria,Pseudoselago,spuria
Psoralea,aphylla,Psoralea,aphylla
Psoralea,asarina,Psoralea,asarina
Psoralea,imbricata,Psoralea,imbricata
Psoralea,laxa,Psoralea,laxa
Psoralea,pinnata,Psoralea,pinnata
Psoralea,repens,Psoralea,repens
Pteridium ,aquilinum,Pteridium,aquilinum
Pterocelastrus,tricuspidatus,Pterocelastrus,tricuspidatus
Rafnia,crassifolia,Rafnia,crassifolia
Rafnia,ungulata,Rafnia,angulata
Restio,ambiguus,Restio,ambiguus
Restio,bifurcus,Restio,bifurcus
Restio,capensis,Restio,capensis
Restio,cincinnatus,Restio,cincinnatus
Restio,dodii,Restio,dodii
Restio,egregius,Restio,egregius
Restio,filiformis,Restio,filiformis
Restio,leptostachyus,Restio,leptostachyus
Restio,quinquefarius,Restio,quinquefarius
Restio,sarcocladus,Restio,sarocladus
Restio,triticeus,Restio,triticeus
Restio (Calopsis),ramosissimus (gracilis),Restio,ramosissimus
Restio (Ischyrolepis),capensis,Restio,capensis
Restio (Ischyrolepis),cincinnata,Restio,cincinnatus
Restio (Ischyrolepis),cincinnatus,Restio,cincinnatus
Rhus,glauca,Searsia,glauca
Rhus,laevigata,Searsia,chirindensis
Rhus,lucida,Rhus,lucens
Rhus,rosmarinifolia,Searsia,rosmarinifolia
Rhus,tomentosa,Rhus,tomentosa
Rhynchosia,ferulifolia,Rhynchosia,ferulifolia
Robsonodendron,maritinum,Cassine,maritima
Roella,amplexicaulis,Roella,amplexicaulis
Roella,ciliata,Roella,ciliata
Roella,decurrens,Roella,decurrens
Roella,prostrata,Roella,prostrata
Roella,recurvata,Roella,recurvata
Roella,squarrosa,Roella,squarrosa
Roella,triflora,Roella,triflora
Rumex,saggitatus,Rumex,sagittatus
Ruschia,macowanii,Ruschia,macowanii
Ruschia,promontorii,Ruschia,promontorii
Ruschia,sarmentosa,Ruschia,sarmentosa
Safgria,odorum,Satyrium,odorum
Salaxis,axillaris,Erica,axillaris
Saltera,sarcocolla,Saltera,sarcocolla
Salvia,africana - lutea,Salvia,africana-lutea
Salvia,africana.lutea,Salvia,africana-lutea
Samolus,valerandi,Samolus,valerandi
Satyrium,odorum,Satyrium,odorum
Scabiosa,africana,Scabiosa,africana
Schizaea,pectinata,Schizaea,pectinata
Scirpus,nodosus,Ficinia,nodosa
Scyphogyne,muscosa,Erica,muscosa
Sebaea,exacoides,Sebaea,exacoides
Selago,dregei,Selago,glandulosa
Selago,scabrida,Selago,scabrida
Selago,serrata,Pseudoselago,serrata
Selago,spuria,Selago,spuria
Senecio,arniciflorus,Senecio,arniciflorus
Senecio,burchellii,Senecio,burchellii
Senecio,elegans,Senecio,elegans
Senecio,pubigerus,Senecio,pubigerus
Senecio,purpureus,Senecio,purpureus
Senecio,triqueter,Senecio,triqueter
Senecio,umbellatus,Senecio,umbellatus
Serruria,decumbens,Serruria,decumbens
Serruria,glomerata,Serruria,glomerata
Serruria,villosa,Serruria,villosa
Shizaea,pectinata,Schizaea,pectinata
Sideroxylon,inerme,Sideroxylon,inerme
Silene,burchellii,Silene,burchellii
Simocheilus,depressus,Erica,glabella
Solanum,guineense,Solanum,guineense
Sonderina,hispida,Sonderina,hispida
Spergularia,media,Spergularia,media
Sporobolus,virginicus,Sporobolus,virginicus
Staavia,radiata,Staavia,radiata
Staberoha,banksii,Staberoha,banksii
Staberoha,cernua,Staberoha,cernua
Staberoha,distachyos,Staberoha,distachyos
Stenotaphrum,secundatum,Stenotaphrum,secundatum
Stilbe,ericoides,Stilbe,ericoides
Stilbe,vestita,Stilbe,vestita
Stoebe,capitata,Stoebe,capitata
Stoebe,fusca,Stoebe,fusca
Stoebe,incana,Seriphium,incanum
Stoebe,plumosa,Seriphium,plumosum
Stoebe,rosea,Stoebe,rosea
Stoebe,sphaerocephala,Stoebe,cyathuloides
Struthiola,ciliata,Struthiola,ciliata
Struthiola,dodecandra,Struthiola,dodecandra
Struthiola,salteri,Struthiola,salteri
Stylapteris,fruticulosus,Stylapterus,fruticulosus
Stylapterus,fruticulosus,Stylapterus,fruticulosus
Succulent daisy,cf. coronopifolia,Cotula,coronopifolia
Sutera,lychnidea,Lyperia,lychnidea
Sympieza,labialis,Erica,labialis
Syncarpha,canescens,Syncarpha,canescens
Syncarpha,gnaphaloides,Syncarpha,gnaphaloides
Syncarpha,speciosissima,Syncarpha,speciosissima
Syncarpha,vestita,Syncarpha,vestita
Syndesmanthus,articulatus,Erica,similis
Tarchonanthus,camphoratus,Tarchonanthus,camphoratus
Tetragonia,decumbens,Tetragonia,decumbens
Tetragonia,fruiticosa,Tetragonia,fruticosa
Tetragonia,fruticosa,Tetragonia,fruiticosa
Tetraria,autumnalis,Tetraria,ligulata
Tetraria,brevicaulis,Capeobolus,brevicaulis
Tetraria,bromoides,Tetraria,bromoides
Tetraria,compacta,Tetraria,compacta
Tetraria,compar,Tetraria,compar
Tetraria,crassa,Tetraria,crassa
Tetraria,cuspidata,Tetraria,cuspidata
Tetraria,exilis,Tetraria,exilis
Tetraria,eximia,Tetraria,eximia
Tetraria,fasciata,Tetraria,fasciata
Tetraria,fimbriolata,Tetraria,fimbriolata
Tetraria,flexuosa,Tetraria,flexuosa
Tetraria,microstachys,Tetraria,microstachys
Tetraria,pleiosticha,Tetraria,pleiosticha
Tetraria,pygmaea,Tetraria,pygmaea
Tetraria,sylvatica,Tetraria,sylvatica
Tetraria,thermalis,Tetraria,thermalis
Tetraria,ustulata,Tetraria,ustulata
Thamnochortus,arenarius,Thamnochortus,arenarius
Thamnochortus,erectus,Thamnochortus,erectus
Thamnochortus,fraternus,Thamnochortus,fraternus
Thamnochortus,fruticosus,Thamnochortus,fruticosus
Thamnochortus,gracilis,Thamnochortus,gracilis
Thamnochortus,insignis,Thamnochortus,insignis
Thamnochortus,lucens,Thamnochortus,lucens
Thamnochortus,obtusus,Thamnochortus,obtusus
Thesidium,hirtum,Thesidium,hirtum
Thesium,acuminatum,Thesium,acuminatum
Thesium,aggregatum,Thesium,aggregatum
Thesium,carinatum,Thesium,capitatum
Thesium,ericifolium,Thesium,ericaefolium
Thesium,nigromontanum,Thesium,nigromontanum
Thesium,pseudovirgatum,Thesium,pseudovirgatum
Thesium,schumannianum,Thesium,schumannianum
Thesium,sp.,Thesium,sp.
Thesium,spicatum,Thesium,spicatum
Thesium,strictum,Thesium,strictum
Thesium,virgatum,Thesium,virgatum
Thesium,viridifolium,Thesium,viridifolium
Trachyandra,hirsutiflora,Trachyandra,hirsutiflora
